Instrument,Company Common Name,Deal Permid,Loan Dates: Announcement Date,Loan Dates: Financial Close Date of Loan Package,Maturity: Maturity Date,Loan Type,Use of Proceeds,Loan Repayment: Type,Loans Issuer/Borrower Ultimate Parent Name Full,Loan Package Amount,"Number of all Managers, inc. Int'l Co-Managers","All Managers, inc. Int'l Co-Managers, Parent (Full Name)","All Managers, inc. Int'l Co-Managers, Parent (Code)",All Loans Manager Roles,Loan Manager Commitment Amount
5000066483,Alibaba Group Holding Ltd,154083490724,2012-07-11,2012-08-23,2016-08-23,Term Loan,Stock Repurchase,,Alibaba Group Holding Ltd,1000000000.0,33,Australia & New Zealand Banking Group Ltd,ANZ,Arranger,125000000.0
5000066483,,154083496414,2011-12-09,2012-05-18,2015-06-13,Term Loan,Acquisition Finance,,Alibaba Group Holding Ltd,3000000000.0,23,Barclays,BARCLAYS-CAP,Arranger,125000000.0
5000066483,,154083501907,2011-12-09,2012-05-18,2013-06-13,Bridge Loan,General Corporate Purpose,,Alibaba Group Holding Ltd,3000000000.0,26,Citi,CITI,Arranger,125000000.0
5000066483,,154083568963,2013-03-04,2013-07-12,2018-07-12,Term Loan,Stock Repurchase,Amortizing,Alibaba Group Holding Ltd,8000000000.0,9,UBS,UBS-BANK,Arranger,125000000.0
5000066483,,154083568964,2013-03-04,2013-07-12,2016-07-12,Revolving Credit Facility,Acquisition Finance,Bullet,Alibaba Group Holding Ltd,8000000000.0,22,DBS Group Holdings,DBSGR,Arranger,125000000.0
5000066483,,154083578934,2013-03-04,2013-07-12,2016-07-12,Term Loan,Refinancing,Bullet,Alibaba Group Holding Ltd,8000000000.0,23,Deutsche Bank,DEUTSCHE-BANK,Arranger,125000000.0
5000066483,,154083606543,2014-08-20,2014-08-20,2019-08-20,Revolving Credit Facility,General Corporate Purpose,Bullet,Alibaba Group Holding Ltd,3000000000.0,22,Mizuho Financial Group,MIZUHO-FINAN,Arranger,125000000.0
5000066483,,154083626725,2016-03-03,2016-05-03,2021-05-03,Term Loan,Stock Repurchase,Bullet,Alibaba Group Holding Ltd,4000000000.0,22,Morgan Stanley,MORGAN-STANLEY,Arranger,125000000.0
5000066483,,154083645802,2017-03-13,2017-04-07,2022-10-07,Revolving Credit Facility,Acquisition Finance,Bullet,Alibaba Group Holding Ltd,5150000000.0,21,Deutsche Bank,DEUTSCHE-BANK,Arranger,0.0
5000066483,,154085353633,2019-04-05,2019-05-29,2024-05-29,Term Loan,Refinancing,Bullet,Alibaba Group Holding Ltd,4000000000.0,30,Australia & New Zealand Banking Group Ltd,ANZ,Arranger,0.0
5000066483,,154085392276,2019-05-17,2019-05-17,2024-05-17,Term Loan,General Corporate Purpose,,Hong Kong Cingleot Investment Management Ltd,975037262.570544,11,UBS,UBS-BANK,Arranger,0.0
5000066483,,154087155484,2021-04-28,2021-06-24,2026-10-07,Revolving Credit Facility,Refinance/Retiring Bank Debt,Bullet,Alibaba Group Holding Ltd,6500000000.0,1,DBS Group Holdings,DBSGR,Arranger,0.0
5000066483,,154087914950,2023-02-23,2023-02-23,,Revolving Credit or Term Loan,Working Capital,,Shanghai Automotive Industry (Group) Co Ltd,723850886.717336,19,HSBC Holdings PLC,SAM-CAPEL-HSBC,Facility Agent,0.0
5000066483,,154087951620,2023-03-29,2023-05-16,2028-05-16,Term Loan,Stock Repurchase,Bullet,Alibaba Group Holding Ltd,4000000000.0,19,Mizuho Financial Group,MIZUHO-FINAN,Arranger,0.0
5000066483,,154088754977,2025-01-01,2025-01-01,2025-12-31,Term Loan,General Corporate Purpose,,Alibaba Group Holding Ltd,695141731.675292,5,Barclays,BARCLAYS-CAP,Arranger,0.0
5000066483,,154089104768,2025-09-26,2025-09-26,2028-09-29,Revolving Credit Facility,Refinance/Retiring Bank Debt,Bullet,Alibaba Group Holding Ltd,3170000000.0,8,Citi,CITI,Arranger,0.0
