Instrument,Company Common Name,Deal Permid,Loan Dates: Announcement Date,Loan Dates: Financial Close Date of Loan Package,Maturity: Maturity Date,Loan Type,Use of Proceeds,Loan Repayment: Type,Loans Issuer/Borrower Ultimate Parent Name Full,Loan Package Amount,"Number of all Managers, inc. Int'l Co-Managers","All Managers, inc. Int'l Co-Managers, Parent (Full Name)","All Managers, inc. Int'l Co-Managers, Parent (Code)",All Loans Manager Roles,Loan Manager Commitment Amount
4296555324,Cargill Inc,154083347001,1988-05-05,1988-05-05,,Term Loan,General Corporate Purpose,Amortizing,Cargill Inc,850000000.0,4,HSBC Holdings PLC,SAM-CAPEL-HSBC,Arranger,0.0
4296555324,,154083347002,1988-05-05,1988-05-05,,Term Loan,General Corporate Purpose,Amortizing,Cargill Inc,850000000.0,21,NatWest,NATWEST-GRP,Participant,0.0
4296555324,,154083370434,1996-10-01,1997-06-27,2008-04-01,Project Financing,Non-Recourse Project Finance,Amortizing,Cargill Inc,1255859569.79953,38,Barclays,BARCLAYS-CAP,Participant,0.0
4296555324,,154083376593,1991-05-01,1991-09-16,2008-09-16,Term Loan,Electricity,Amortizing,Cargill Inc,1381311464.0164,22,BNP Paribas SA,BNP-PARIBAS,Participant,0.0
4296555324,,154083376594,1991-05-01,1991-09-16,2007-09-16,Term Loan,Refinancing,Amortizing,Cargill Inc,1381311464.0164,31,BNP Paribas SA,BNP-PARIBAS,Participant,0.0
4296555324,,154083377635,1992-02-12,1992-02-12,2007-02-12,Term Loan,Project Finance,Amortizing,Cargill Inc,730500000.0,12,CIBC World Markets Inc,CIBC-WORLD,Participant,0.0
4296555324,,154083386056,1996-02-28,1996-02-28,1999-03-01,Revolving Credit Facility,Energy,Bullet,Cargill Inc,500000000.0,27,Credit Agricole Corporate & Investment Bank,CREDIT-AGRI-CIB,Participant,0.0
4296555324,,154083386057,1996-02-28,1996-02-28,2001-03-02,Term Loan,Project Finance,Amortizing,Cargill Inc,500000000.0,10,UBS,UBS-BANK,Participant,0.0
4296555324,,154083389437,1995-07-31,1995-07-31,2000-07-31,Revolving Credit Facility,Energy,,Cargill Inc,150000000.0,38,Deutsche Bank,DEUTSCHE-BANK,Participant,0.0
4296555324,,154083389878,1996-10-11,1996-10-11,,Revolving Credit Facility,Refinancing,,Cargill Inc,500000000.0,17,Mizuho Financial Group,MIZUHO-FINAN,Participant,0.0
4296555324,,154083389879,1996-10-11,1996-10-11,,Revolving Credit Facility,Acquisition Finance,,Cargill Inc,500000000.0,6,Mizuho Financial Group,MIZUHO-FINAN,Participant,0.0
4296555324,,154083389880,1996-10-11,1996-10-11,,Term Loan,Refinancing,,Cargill Inc,500000000.0,13,Mitsubishi UFJ Financial Group,MITSUBISHI-UFJ,Participant,0.0
4296555324,,154083391283,1997-02-04,1997-02-04,,Revolving Credit Facility,Refinancing,,Cargill Inc,45000000.0,38,NatWest,NATWEST-GRP,Participant,0.0
4296555324,,154083392153,1995-08-01,1995-08-01,,Letter Of Credit,General Corporate Purpose,,Broken Hill Pty Co Ltd{BHP},350000000.0,17,RBC Capital Markets,RBC-CAP-MKTS,Participant,0.0
4296555324,,154083393455,1997-05-13,1997-05-13,2000-05-13,Revolving Credit Facility,General Corporate Purpose,,Cargill Inc,500000000.0,31,Mitsubishi UFJ Financial Group,MITSUBISHI-UFJ,Participant,0.0
4296555324,,154083393456,1997-05-13,1997-05-13,2000-05-13,Revolving Credit Facility,General Corporate Purpose,,Cargill Inc,500000000.0,22,UBS,UBS-BANK,Participant,0.0
4296555324,,154083393457,1997-05-13,1997-05-13,2002-05-13,Term Loan,General Corporate Purpose,,Cargill Inc,500000000.0,41,Societe Generale SA,SOC-GEN,Participant,0.0
4296555324,,154083395875,1997-12-15,1997-12-15,1998-12-14,Revolving Credit Facility,General Corporate Purpose,Bullet,Cargill Inc,1000000000.0,20,UBS,UBS-BANK,Participant,0.0
4296555324,,154083395876,1997-12-15,1997-12-15,2002-12-15,Revolving Credit Facility,General Corporate Purpose,Bullet,Cargill Inc,1000000000.0,40,Westpac Banking Corp,WESTPAC,Participant,0.0
4296555324,,154083397252,1998-04-01,1998-04-01,1999-03-31,Revolving Credit Facility,Refinancing,Bullet,Cargill Inc,1000000000.0,2,HSBC Holdings PLC,SAM-CAPEL-HSBC,Arranger,0.0
4296555324,,154083400549,1999-03-01,1999-03-01,,Revolving Credit Facility,Refinancing,Bullet,Cargill Inc,250000000.0,7,NatWest,NATWEST-GRP,Participant,0.0
4296555324,,154083400564,1998-12-14,1998-12-14,1999-12-13,Revolving Credit Facility,Refinancing,Bullet,Cargill Inc,350000000.0,22,Barclays,BARCLAYS-CAP,Participant,0.0
4296555324,,154083408589,2000-05-18,2000-05-18,2005-05-18,Term Loan,Acquisition Finance,,Cargill Inc,152100000.0,19,BNP Paribas SA,BNP-PARIBAS,Participant,0.0
4296555324,,154083408887,2000-07-21,2000-07-21,2007-07-21,Revolving Credit Facility,Acquisition Finance,,The Dow Chemical Co,260000000.0,13,BNP Paribas SA,BNP-PARIBAS,Participant,0.0
4296555324,,154083408888,2000-07-21,2000-07-21,2007-07-21,Term Loan,Bridging Loan,,The Dow Chemical Co,260000000.0,6,CIBC World Markets Inc,CIBC-WORLD,Participant,0.0
4296555324,,154083409487,1999-12-08,1999-12-08,2000-12-06,Revolving Credit Facility,Acquisition Finance,,Cargill Inc,350000000.0,22,Credit Agricole Corporate & Investment Bank,CREDIT-AGRI-CIB,Participant,0.0
4296555324,,154083411438,1999-12-08,1999-12-08,2004-12-08,Revolving Credit Facility,Standby/CP Support,Bullet,Cargill Inc,650000000.0,40,UBS,UBS-BANK,Participant,0.0
4296555324,,154083415363,2000-09-29,2000-09-29,2001-09-28,Revolving Credit Facility,General Corporate Purpose,,Cargill Inc,800000000.0,25,Deutsche Bank,DEUTSCHE-BANK,Participant,0.0
4296555324,,154083415364,2000-09-29,2000-09-29,2002-12-15,Revolving Credit Facility,Refinancing,Bullet,Cargill Inc,800000000.0,5,Mizuho Financial Group,MIZUHO-FINAN,Participant,0.0
4296555324,,154083419478,2001-05-17,2001-05-17,2006-05-17,Revolving Credit Facility,Future Acquisitions,Bullet,Cargill Inc,500000000.0,10,Mizuho Financial Group,MIZUHO-FINAN,Participant,0.0
4296555324,,154083419960,2001-11-07,,,Bridge Loan,General Corporate Purpose,,Cargill Inc,185000000.0,23,Mitsubishi UFJ Financial Group,MITSUBISHI-UFJ,Participant,0.0
4296555324,,154083420003,2001-05-17,2001-05-17,2006-11-17,Term Loan,Project Finance,Amortizing,Cargill Inc,500000000.0,20,NatWest,NATWEST-GRP,Participant,0.0
4296555324,,154083422783,2001-10-30,2001-10-30,2006-10-30,Term Loan,General Corporate Purpose,Amortizing,Cargill Inc,38437690.6131379,19,RBC Capital Markets,RBC-CAP-MKTS,Participant,0.0
4296555324,,154083422784,2001-10-30,2001-10-30,2006-10-30,Revolving Credit Facility,Project Finance,Bullet,Cargill Inc,38437690.6131379,19,Mitsubishi UFJ Financial Group,MITSUBISHI-UFJ,Participant,0.0
4296555324,,154083424486,2001-10-16,2001-11-28,2008-05-28,Revolving Credit Facility,General Corporate Purpose,Bullet,Cargill Inc,310000000.0,15,UBS,UBS-BANK,Participant,0.0
4296555324,,154083426662,2001-10-16,2001-11-28,2009-12-01,Term Loan,General Corporate Purpose,Amortizing,Cargill Inc,310000000.0,34,Societe Generale SA,SOC-GEN,Participant,0.0
4296555324,,154083427668,2002-06-05,2002-06-05,2009-06-05,Revolving Credit Facility,General Corporate Purpose,,The Dow Chemical Co,50000000.0,3,UBS,UBS-BANK,Participant,0.0
4296555324,,154083427977,2002-06-14,2002-06-14,2007-06-14,Revolving Credit Facility,General Corporate Purpose,,Cargill Inc,34000000.0,5,Westpac Banking Corp,WESTPAC,Participant,0.0
4296555324,,154083427978,2002-06-14,2002-06-14,2007-06-14,Term Loan,Future Acquisitions,,Cargill Inc,34000000.0,38,Landesbank Hessen-Thueringen Girozentrale,HESSEN-T,Lead Manager,0.0
4296555324,,154083432173,2003-02-21,2003-02-21,2006-05-17,Revolving Credit Facility,General Corporate Purpose,Bullet,Cargill Inc,471100000.0,10,HSBC Holdings PLC,SAM-CAPEL-HSBC,Lead Manager,0.0
4296555324,,154083432174,2003-02-21,2003-02-21,2006-11-17,Term Loan,Pay Fees And Expenses,Amortizing,Cargill Inc,471100000.0,22,Mizuho Financial Group,MIZUHO-FINAN,Lead Manager,0.0
4296555324,,154083438017,2003-10-01,2003-11-05,2004-11-03,Revolving Credit Facility,Working Capital,,Cargill Inc,2500000000.0,17,Mitsubishi UFJ Financial Group,MITSUBISHI-UFJ,Lead Manager,0.0
4296555324,,154083438018,2003-10-01,2003-11-05,2008-11-08,Revolving Credit Facility,Refinancing,,Cargill Inc,2500000000.0,34,Leonia PLC,LEONPL,Lead Manager,0.0
4296555324,,154083448755,2004-05-14,2004-05-14,2007-07-14,Term Loan,Bridging Loan,,The Dow Chemical Co,210000000.0,12,NatWest,NATWEST-GRP,Lead Manager,0.0
4296555324,,154083449121,2004-10-07,2004-11-05,2005-11-04,364 Day Revolver,General Corporate Purpose,,Cargill Inc,3000000000.0,2,Sumitomo Mitsui Financial Group Inc,SUM-MIT-FIN-GRP,Lead Manager,0.0
4296555324,,154083449122,2004-10-07,2004-11-05,2008-11-05,Revolving Credit Facility,Pay Fees And Expenses,,Cargill Inc,3000000000.0,6,Mitsubishi UFJ Financial Group,MITSUBISHI-UFJ,Lead Manager,0.0
4296555324,,154083451774,2004-10-22,2004-10-22,2005-01-20,Revolving Credit Facility,Working Capital,,Cargill Inc,160000000.0,25,Sumitomo Mitsui Financial Group Inc,SUM-MIT-FIN-GRP,Lead Manager,0.0
4296555324,,154083452497,2005-01-21,2005-02-18,2010-02-18,Revolving Credit Facility,Refinancing,Bullet,Cargill Inc,850000000.0,38,TD Securities Inc,TD-SECURITIES,Lead Manager,0.0
4296555324,,154083452498,2005-01-21,2005-02-18,2010-02-18,Term Loan A,Leveraged Buyout,Amortizing,Cargill Inc,850000000.0,2,Portigon AG,PORTIGON,Lead Manager,0.0
4296555324,,154083452499,2005-01-21,2005-02-18,2012-02-18,Term Loan B,Leveraged Buyout,Amortizing,Cargill Inc,850000000.0,19,Arab International Bank,ARAB-INTL,Manager,0.0
4296555324,,154083464679,2005-10-07,2005-11-04,2006-11-03,364 Day Revolver,Pay Fees And Expenses,,Cargill Inc,3500000000.0,16,ING,ING,Manager,0.0
4296555324,,154083464680,2005-10-07,2005-11-04,2010-11-04,Revolving Credit Facility,Acquisition Finance,,Cargill Inc,3500000000.0,28,Precision Capital SA,PRECISION-CAP,Manager,0.0
4296555324,,154083480644,2006-11-02,2006-12-01,2011-12-01,Term Loan A,Refinancing,Amortizing,Cargill Inc,1462000000.0,21,BMO Capital Markets,BMO-CAPITAL,Manager,0.0
4296555324,,154083480645,2006-11-02,2006-12-01,2013-12-01,Term Loan B,Pay Fees And Expenses,Amortizing,Cargill Inc,1462000000.0,1,Lloyds Bank,LLOYDS-PLC,Manager,0.0
4296555324,,154083482740,2006-11-03,2006-11-03,2007-11-02,364 Day Revolver,Acquisition Finance,,Cargill Inc,4000000000.0,15,Credit Agricole Corporate & Investment Bank,CREDIT-AGRI-CIB,Manager,0.0
4296555324,,154083482741,2006-11-03,2006-11-03,2011-11-03,Revolving Credit Facility,Refinancing,,Cargill Inc,4000000000.0,7,KBC Group NV,KBC-GROUP,Manager,0.0
4296555324,,154083489266,2011-09-20,2011-10-28,2012-10-28,Revolving Credit Facility,General Corporate Purpose,Bullet,Cargill Inc,5000000000.0,38,Cooperatieve Rabobank UA,RABOBANK,Manager,0.0
4296555324,,154083489538,2011-09-20,2011-10-28,2016-10-28,Revolving Credit Facility,Future Acquisitions,Bullet,Cargill Inc,5000000000.0,10,Mitsubishi UFJ Financial Group,MITSUBISHI-UFJ,Manager,0.0
4296555324,,154083494550,2010-09-29,2010-10-29,2011-10-28,364 Day Revolver,Future Acquisitions,Bullet,Cargill Inc,5000000000.0,6,NatWest,NATWEST-GRP,Manager,0.0
4296555324,,154083494551,2010-09-29,2010-10-29,2013-10-29,Revolving Credit Facility,Refinance/Retiring Bank Debt,Bullet,Cargill Inc,5000000000.0,25,CIBC World Markets Inc,CIBC-WORLD,Sub-Underwriter,0.0
4296555324,,154083509331,2007-04-12,2007-04-12,2012-04-12,Revolving Credit Facility,Refinance/Retiring Bank Debt,,Cargill Inc,95000000.0,3,NatWest,NATWEST-GRP,Arranger,0.0
4296555324,,154083509332,2007-04-12,2007-04-12,2013-04-12,Term Loan B,General Corporate Purpose,,Cargill Inc,95000000.0,14,Barclays,BARCLAYS-CAP,Arranger,0.0
4296555324,,154083511961,2008-10-31,2008-10-31,2009-10-31,Revolving Credit Facility,Standby/CP Support,,Cargill Inc,1500000000.0,6,Credit Agricole Corporate & Investment Bank,CREDIT-AGRI-CIB,Co-Arranger,0.0
4296555324,,154083514848,2012-02-13,2012-03-22,2013-03-21,Revolving Credit Facility,General Corporate Purpose,Bullet,Cargill Inc,1250000000.0,25,UBS,UBS-BANK,Co-Arranger,0.0
4296555324,,154083519587,2011-02-26,2011-03-24,2012-03-22,364 Day Revolver,Standby/CP Support,,Cargill Inc,728000000.0,9,Arab Bank PLC,ABL,Lead Manager,0.0
4296555324,,154083525478,2009-07-21,2009-07-21,2010-07-20,Revolving Credit Facility,General Corporate Purpose,,Cargill Inc,75000000.0,23,ING,ING,Lead Manager,0.0
4296555324,,154083526164,2012-05-31,2012-05-31,2027-05-31,Term Loan A,Refinance/Retiring Bank Debt,,Cargill Inc,19500000.0,10,Oddo BHF SCA,ODDO-BHF-SCA,Lead Manager,0.0
4296555324,,154083526165,2012-05-31,2012-05-31,2022-05-31,Term Loan A,Standby/CP Support,,Cargill Inc,19500000.0,2,Hypo-bank,HYPO-BANK,Lead Manager,0.0
4296555324,,154083526166,2012-05-31,2012-05-31,2019-05-31,Term Loan A,Refinance/Retiring Bank Debt,,Cargill Inc,19500000.0,7,Bayerische Landesbank Girozentrale,BAYER-LANDES,Lead Manager,0.0
4296555324,,154083527239,2010-07-21,2010-07-21,2011-07-20,364 Day Revolver,Standby/CP Support,,Cargill Inc,120000000.0,12,Scotiabank,SCOTIABANK,Lead Manager,0.0
4296555324,,154083528023,2012-02-13,2012-03-22,2013-03-21,Revolving Credit Facility,General Corporate Purpose,Bullet,Cargill Inc,1250000000.0,34,Mitsubishi UFJ Financial Group,MITSUBISHI-UFJ,Lead Manager,0.0
4296555324,,154083533749,2011-07-18,2011-07-18,2012-07-18,Term Loan,Working Capital,,Cargill Inc,120000000.0,6,UniCredit,UNICREDIT-SPA,Lead Manager,0.0
4296555324,,154083533786,2011-02-26,2011-03-24,2012-03-22,364 Day Revolver,Acquisition Finance,,Cargill Inc,522000000.0,10,Nordea,NORDEA-BANK,Lead Manager,0.0
4296555324,,154083534420,2009-10-03,2009-10-30,2010-10-29,364 Day Revolver,Acquisition Finance,Bullet,Cargill Inc,1725000000.0,1,Credit Agricole Corporate & Investment Bank,CREDIT-AGRI-CIB,Lead Manager,0.0
4296555324,,154083534587,2007-11-02,2007-11-02,2008-10-31,364 Day Revolver,Acquisition Finance,,Cargill Inc,1500000000.0,14,Commerzbank AG,COMMERZBANK,Lead Manager,0.0
4296555324,,154083542243,2009-07-23,2009-07-23,2012-07-23,Revolving Credit Facility,Refinancing,,BlueScope Steel Ltd,75000000.0,2,Commerzbank AG,COMMERZBANK,Lead Manager,0.0
4296555324,,154083544596,2009-07-24,2009-07-29,2012-08-07,Revolving Credit Facility,Refinancing,,Cargill Inc,500000000.0,17,Mizuho Financial Group,MIZUHO-FINAN,Lead Manager,0.0
4296555324,,154083552000,2011-04-26,2011-04-26,2016-04-26,Revolving Credit Facility,General Corporate Purpose,Bullet,Cargill Inc,750000000.0,14,NIBC NV,NIBC,Lead Manager,0.0
