Companies,PermID,RIC,Notes
Alibaba Group Holding Limited,5000066483,9988.HK,
"Aeon Co., Ltd. ",4295880522,8267.T,
Albertsons,5046318067,ACI.N,
ALDI Sud and ALDI Nord GmbH & Co. oHG,4298167144,,PRIVATE 
"Altria Group, Inc.  ",4295903207,MO.N,
Amazon,4295905494,AMZN.O,
Anheuser-Busch InBev,4295859326,ABI.BR,
Archer Daniels Midland (ADM),4295903463,ADM.N,
"Asahi Group Holdings, Ltd. ",4295876498,2502.T,
ASDA Group Limited,5000068858,,PRIVATE 
Auchan Retail International S.A.  ,4298103625,,PRIVATE 
Bayer,4295869217,BAYGn.DE,
Beijing Capital Agribusiness & Food Group (CAG),5000561805,,STATE-OWNED
British American Tobacco p.l.c. ,4295894777,BATS.L,
Bunge,4296597341,BG.N,
C&S Wholesale Grocers,"
5000093890",,PRIVATE
Cargill,4296555324,,PRIVATE 
Carrefour,4295866751,CARR.PA,
Charoen Pokphand Group (CP Group),4296340377,,PRIVATE
"China Co-op Group Co.,Ltd (ACFSMC)",5033561380,,COOPERATIVE
China Forestry Group Corporation,4298064372,,STATE-OWNED
"China Kweichow Moutai Distillery(Group)Co,.Ltd","
5000057326",600519.SS,
China National Chemical Corporation Limited (owns Syngenta),"
4297739955",,STATE-OWNED
CHS Inc,"
4296341355",CHSCP.O,
CJ Cheiljedang Corporation,"
4295882291",097950.KS,
"Coca-Cola Company, The & Coca-Cola Europacific Partners PLC & Fomento Económico Mexicano, S.A.B. de C.V. (FEMSA)",4295903091,KO.N,
COFCO,"
5000029409",,STATE-OWNED
Coles Group Limited,4295857398,COL.AX,
Compass Group PLC,"
4295895403",CPG.L,
Consorzio Nazionale Dettaglianti Società Cooperativa  (CONAD),5000847515,,COOPERATIVE
Coop-Gruppe Genossenschaft ,4296549687,,COOPERATIVE
Costco Wholesale,"
4295912987",COST.O,
"Dairy Farmers of America (DFA), Inc.","
4296327880",,COOPERATIVE
Danone,"
4295867387",DANO.PA,
Deere & Company ,"
4295903104",DE.N,
Diageo plc,"
4295894791",DGE.L,
Dollar General Corporation,4295903123,DG.N,
E-MART Inc.,"
5035149355",139480.KS,
E.Leclerc S.A.,"
4298161610",,PRIVATE
Edeka Zentrale Stiftung & Co. ,"
4295868964",,PRIVATE
Empire Company Limited ,"
4295861298",EMPa.TO,
Food Corporation of India ,"
5000009277",,STATE-OWNED
Groupe Casino,4295866771,CASP.PA,
Grupo Bimbo,4295884506,BIMBOA.MX,
"HEB Grocery Company, LP ",4296598120,,PRIVATE
Heineken N.V.,"
4295884692",HEIN.AS,
Imperial Brands PLC ,"
4295894647",IMB.L,
International Paper Company ,"
4295903177",IP.N,
Itochu + FamilyMart,"
4295880516",8001.T,
J Sainsbury plc,"
4295895145",SBRY.L,
Japan Tobacco Inc.,"
4295879109",2914.T,
JBS,"
4295860302",JBS.N,
"Jerónimo Martins, SGPS, SA",4295886732,JMT.LS,
Koninklijke Ahold Delhaize,4295884672,AD.AS,
Lactalis,"
4296818456",,PRIVATE
Land O'Lakes,4298008871,,COOPERATIVE
Les Mousquetaires (Intermarché) ,"
5085166897",,PRIVATE
Loblaw Companies Limited,4295860619,L.TO,
Louis Dreyfus Company,"
4298451869",,PRIVATE
Marfrig Global Foods S.A.,"
4295859830",MRFG3.SA,
Mars,"
4298160473",,PRIVATE
Marubeni Corporation,4295880543,8002.T,
McDonald's Corporation,"
4295904499",MCD.N,
Mercadona,"
4296134927",,PRIVATE
Metro AG,5056412391,B4B.DE,
"Mitsui & Co., Ltd.",4295880574,8031.T,
Mondelez,4295899791,MDLZ.O,
Nestlé S.A.,"
4295890634",NESN.S,
"New Hope Group Co., Ltd. ","
4298436831",000876.SZ,
Nutrien Ltd.   ,"
5059998878",NTR.TO,
Olam International Limited,4295888157,OLAM.SI,
PepsiCo,"
4295904718",PEP.O,
Performance Food Group Company (PFG),"
5043951479",PFGC.N,
Philip Morris International Inc.  ,4298015178,PM.N,
Public Joint Stock Company Magnit,4295887264,MGNT.MM,
"Publix Super Markets, Inc.",4295914632,,PRIVATE 
Rewe-Zentralfinanz eG (Rewe Group),"
4296133144",,COOPERATIVE
Reyes Holdings,"
4296665046",,PRIVATE
"Schwarz Gruppe (Kaufland, Lidl)",4295953501,,PRIVATE
Seven & I Holdings,"
4295880490",3382.T,
Sodexo,"
4295866614",EXHO.PA,
Starbucks Corporation,4295908005,SBUX.O,
Sysco Corporation,"
4295905023",SYY.N,
Target Corporation,"
4295912282",TGT.N,
Tesco PLC,"
4295895258",TSCO.L,
The Kraft Heinz Company,"
5038908093",KHC.O,
The Kroger Co. ,4295903182,KR.N,
Tyson Foods,4295905141,TSN.N,
Unilever,4295894770,ULVR.L,
"United Natural Foods, Inc. ",4295908260,UNFI.N,
US Foods Holding Corp.,4298218064,USFD.N,
Viterra BV,"
5037035664",,"PRIVATE — No longer active, Now under Bunge"
Walmart,4295905298,WMT.N,
WestRock Company,5063196140,,"PRIVATE - No longer active, Now under Smurfit WestRock"
WH Group Limited,"
5038044355",0288.HK,
Wilmar International,4295887677,WLIL.SI,
Woolworths Group Limited (AUS),4295856585,WOW.AX,
X5 Retail Group,4295887239,FIVEDR.MM,
YARA GmbH & Co.KG ,4295885383,YAR.OL,
Zen-Noh,4296676852,,PRIVATE
