PermID,Company Common Name,TRBC Activity Name
4296555324,Cargill Inc,Food Processing (NEC)
5000029409,COFCO Corp,Food Processing (NEC)
5086635324,Bunge Global SA,Food Processing (NEC)
4295903463,Archer-Daniels-Midland Co,
4295887677,Wilmar International Ltd,Food Processing (NEC)
4298451869,Louis Dreyfus Co BV,Fishing & Farming Wholesale
5082465234,Olam Group Ltd,Food Processing (NEC)
4295880516,Itochu Corp,Diversified Industrial Goods Wholesale
5084607275,Jbs NV,Meat Processing
4295905141,Tyson Foods Inc,Meat Processing
4295859830,Marfrig Global Foods SA,Meat Processing
4296818456,Groupe Lactalis SA,Dairy Products
4295890634,Nestle SA,Food Processing (NEC)
5051005585,Dairy Farmers of America Inc,
4295867387,Danone SA,Food Processing (NEC)
4295869217,Bayer AG,Pharmaceuticals (NEC)
5066581979,Corteva Inc,Agricultural Chemicals (NEC)
5072824656,Syngenta Group Co Ltd,Pesticides
4295869198,BASF SE,Diversified Chemicals
5059998878,Nutrien Ltd,Agricultural Chemicals Wholesale
5000274109,Mosaic Co,Fertilizers
4295885383,Yara International ASA,Fertilizers
4295903461,CF Industries Holdings Inc,Fertilizers
4295903104,Deere & Co,Agricultural Machinery
5039844145,CNH Industrial NV,Heavy Machinery & Vehicles (NEC)
4295877395,Kubota Corp,Heavy Machinery & Vehicles (NEC)
4295903078,AGCO Corp,Heavy Machinery & Vehicles (NEC)
5037658928,Zoetis Inc,Veterinary Drugs
4295904886,Merck & Co Inc,Proprietary & Advanced Pharmaceuticals
4295869234,Boehringer Ingelheim GmbH,Generic Pharmaceuticals
4296365146,Elanco Animal Health Inc,Veterinary Drugs
