Instrument,Company Common Name,Investor Full Name,Investor Shares Held,Holdings Pct Of Traded Shares Held,Close Price
9988.HK,Alibaba Group Holding Ltd,SoftBank Group Corp,630790344,3.2867,16.6475169156134
9988.HK,,"The Vanguard Group, Inc.",620327095,3.2322,
9988.HK,,"BlackRock Institutional Trust Company, N.A.",530627880,2.7648,
9988.HK,,Norges Bank Investment Management (NBIM),394989373,2.0581,
9988.HK,,BlackRock Asset Management Ireland Limited,196241549,1.0225,
9988.HK,,BlackRock Advisors (UK) Limited,179252076,0.934,
9988.HK,,E Fund Management Co. Ltd.,176027473,0.9172,
9988.HK,,JP Morgan Asset Management,174315481,0.9083,
9988.HK,,Parufam Ltd.,147385672,0.7679,
9988.HK,,Hang Seng Investment Management Ltd.,126311071,0.6581,
9988.HK,,PMH Holding Limited,113539168,0.5916,
9988.HK,,"Geode Capital Management, L.L.C.",101432515,0.5285,
9988.HK,,Fidelity Management & Research Company LLC,86295463,0.4496,
9988.HK,,"Fullgoal Fund Management Co., Ltd.",76947651,0.4009,
9988.HK,,"Dimensional Fund Advisors, L.P.",70040000,0.3649,
9988.HK,,"China Asset Management Co., Ltd.",69456970,0.3619,
9988.HK,,Schroder Investment Management (Hong Kong) Ltd.,55618820,0.2898,
9988.HK,,Fidelity International,51206406,0.2668,
9988.HK,,DWS Investment GmbH,49976654,0.2604,
9988.HK,,Nuveen LLC,49881787,0.2599,
9988.HK,,State Street Investment Management (US),49200626,0.2564,
9988.HK,,"First Eagle Investment Management, L.L.C.",47460048,0.2473,
9988.HK,,CSOP Asset Management Limited,46902929,0.2444,
9988.HK,,APG Asset Management N.V.,46521610,0.2424,
9988.HK,,"Krane Funds Advisors, LLC",42498888,0.2214,
9988.HK,,"Charles Schwab Investment Management, Inc.",40964805,0.2134,
9988.HK,,Robeco Institutional Asset Management B.V.,40116792,0.209,
9988.HK,,Aviva Investors Global Services Limited,39486022,0.2057,
9988.HK,,JPMorgan Asset Management (Asia Pacific) Limited,37254860,0.1941,
9988.HK,,Public Mutual Berhad,36971286,0.1926,
9988.HK,,"ICBC UBS Asset Management Co., Ltd.",36862776,0.1921,
9988.HK,,FIL Investment Management (Hong Kong) Limited,32936272,0.1716,
9988.HK,,BlackRock (Singapore) Limited,32883412,0.1713,
9988.HK,,Capital World Investors,32226974,0.1679,
9988.HK,,California Public Employees' Retirement System,31077144,0.1619,
9988.HK,,HSBC Global Asset Management (UK) Limited,31026678,0.1617,
9988.HK,,State Street Investment Management (UK),28372752,0.1478,
9988.HK,,Schroder Investment Management Ltd. (SIM),28074815,0.1463,
9988.HK,,MFS Investment Management,28020660,0.146,
9988.HK,,Legal & General Investment Management Ltd.,27416997,0.1429,
9988.HK,,Baillie Gifford & Co.,25738136,0.1341,
9988.HK,,Royal London Asset Management Ltd.,25217700,0.1314,
9988.HK,,RBC Global Asset Management (UK) Limited,25062772,0.1306,
9988.HK,,"Zhong Ou Asset Management Co., Ltd.",25047000,0.1305,
9988.HK,,INVESCO Asset Management Limited,23933671,0.1247,
9988.HK,,Northern Trust Global Investments Limited,23752152,0.1238,
9988.HK,,"GF Fund Management Co., Ltd.",23743420,0.1237,
9988.HK,,T. Rowe Price International Ltd,23687596,0.1234,
9988.HK,,BlackRock Investment Management (UK) Ltd.,23521620,0.1226,
9988.HK,,"China Universal Asset Management Co., Ltd.",23247700,0.1211,
9988.HK,,California State Teachers Retirement System,22996033,0.1198,
9988.HK,,"Amundi Asset Management, SAS",22689364,0.1182,
9988.HK,,"Goldman Sachs Asset Management, L.P.",22658377,0.1181,
9988.HK,,UBS Asset Management (UK) Ltd.,22489617,0.1172,
9988.HK,,JPMorgan Asset Management (China) Company Limited.,21911563,0.1142,
9988.HK,,FIL Investment Management (Singapore) Ltd.,21483166,0.1119,
9988.HK,,INVESCO Great Wall Fund Management Co. Ltd.,21351154,0.1112,
9988.HK,,Harris Associates L.P.,20915354,0.109,
9988.HK,,Pictet Asset Management Ltd.,20622312,0.1075,
9988.HK,,UBS Asset Management Switzerland AG,20553444,0.1071,
9988.HK,,Deka Investment GmbH,20038852,0.1044,
9988.HK,,"Lazard Asset Management, L.L.C.",19496225,0.1016,
9988.HK,,"Harvest Fund Management Co., Ltd.",19458417,0.1014,
9988.HK,,"Wellington Management Company, LLP",19220246,0.1001,
9988.HK,,BlackRock Asset Management North Asia Limited,18586978,0.0968,
9988.HK,,DWS Investments UK Limited,18527489,0.0965,
9988.HK,,Capital Research Global Investors,18345500,0.0956,
9988.HK,,JPMorgan Asset Management U.K. Limited,18214241,0.0949,
9988.HK,,abrdn Investments Limited,18062304,0.0941,
9988.HK,,Swedbank Robur Fonder AB,17957776,0.0936,
9988.HK,,Caisse de Depot et Placement du Quebec,17190706,0.0896,
9988.HK,,Franklin Templeton International Services SARL,17029908,0.0887,
9988.HK,,T. Rowe Price Hong Kong Limited,16905840,0.0881,
9988.HK,,Rothschild & Co Asset Management Europe SCS,15986453,0.0833,
9988.HK,,UBS Asset Management (Switzerland),15961900,0.0832,
9988.HK,,Polar Capital LLP,15795270,0.0823,
9988.HK,,Allianz Global Investors Asia Pacific Limited,15755763,0.0821,
9988.HK,,Principal Global Investors (Equity),15320316,0.0798,
9988.HK,,Amundi Japan Ltd.,15153200,0.079,
9988.HK,,Ninety One UK Limited,14279191,0.0744,
9988.HK,,"Pzena Investment Management, LLC",13677219,0.0713,
9988.HK,,Artisan Partners Limited Partnership,13549671,0.0706,
9988.HK,,Wu (Yongming),13401085,0.0698,
9988.HK,,Mirae Asset Global Investments (Hong Kong) Limited,13308474,0.0693,
9988.HK,,Zürcher Kantonalbank (Asset Management),13236019,0.069,
9988.HK,,Tsai (Chung Joseph),12843901,0.0669,
9988.HK,,Eastspring Investments (Singapore) Limited,12505647,0.0652,
9988.HK,,Storebrand Kapitalforvaltning AS,12457167,0.0649,
9988.HK,,"Dacheng Fund Management Co., Ltd.",12173000,0.0634,
9988.HK,,Mediolanum International Funds Limited,12161395,0.0634,
9988.HK,,Nordea Funds Oy,11969164,0.0624,
9988.HK,,China Asset Management (Hong Kong) Limited,11449395,0.0597,
9988.HK,,Templeton Asset Management Ltd.,11316562,0.059,
9988.HK,,China Southern Asset Management Co. Ltd.,10861600,0.0566,
9988.HK,,Wu (Wei),10854160,0.0566,
9988.HK,,Goldman Sachs Asset Management International,10770451,0.0561,
9988.HK,,"Bank of Communications Schroder Fund Management Co., Ltd.",10503794,0.0547,
9988.HK,,RBC Global Asset Management (Asia) Limited,10325841,0.0538,
9988.HK,,Schroder Investment Management (Singapore) Ltd.,10303812,0.0537,
9988.HK,,"T. Rowe Price Associates, Inc.",10005002,0.0521,
9988.HK,,"Tianhong Asset Management Co., Ltd.",9950300,0.0518,
9988.HK,,"Driehaus Capital Management, LLC",9897100,0.0516,
9988.HK,,Vontobel Asset Management AG,9510391,0.0496,
9988.HK,,"Hwabao WP Fund Management Co., Ltd.",9499500,0.0495,
9988.HK,,"Arga Investment Management, LP",9380419,0.0489,
9988.HK,,"AEGON-INDUSTRIAL Fund Management Co., Ltd.",9287164,0.0484,
9988.HK,,Fideuram Asset Management (Ireland) dac,9256885,0.0482,
9988.HK,,"Allspring Global Investments, LLC",9154394,0.0477,
9988.HK,,First Sentier Investments (U.K.) Ltd,8915300,0.0465,
9988.HK,,Baring Asset Management Ltd.,8898470,0.0464,
9988.HK,,"Mirae Asset Global Investments Co., Ltd.",8892105,0.0463,
9988.HK,,"Thornburg Investment Management, Inc.",8807633,0.0459,
9988.HK,,Fidelity Management & Research (Hong Kong) Limited,8743729,0.0456,
9988.HK,,Principal Global Investors (Hong Kong) Limited,8711400,0.0454,
9988.HK,,China Merchants Fund Management Co. Ltd.,8685265,0.0453,
9988.HK,,North of South Capital LLP,8659376,0.0451,
9988.HK,,"Matthews International Capital Management, L.L.C.",8653712,0.0451,
9988.HK,,"Bessemer Trust Company, N.A. (US)",8534887,0.0445,
9988.HK,,SEB Investment Management AB,8312501,0.0433,
9988.HK,,"First Seafront Fund Management Co., Ltd.",8293600,0.0432,
9988.HK,,Candriam Luxembourg S.A.,8279373,0.0431,
9988.HK,,Handelsbanken Kapitalförvaltning AB,8052206,0.042,
9988.HK,,HSBC Global Asset Management (Hong Kong) Limited,7987053,0.0416,
9988.HK,,Fidelity Investments Canada ULC,7846332,0.0409,
9988.HK,,abrdn Asia Limited,7725768,0.0403,
9988.HK,,UBS Fund Management (Switzerland) AG,7723032,0.0402,
9988.HK,,BOCI-Prudential Asset Management Ltd.,7658743,0.0399,
9988.HK,,"Brandes Investment Partners, L.P.",7629139,0.0398,
9988.HK,,"Dimensional Fund Advisors, Ltd.",7618600,0.0397,
9988.HK,,UBS Asset Management (Hong Kong) Limited,7479200,0.039,
9988.HK,,Danske Bank Asset Management,7347930,0.0383,
