Instrument,Company Common Name,Investor Full Name,Investor Shares Held,Holdings Pct Of Traded Shares Held,Close Price
BG,Bunge Global SA,Glencore International AG,32806103,16.9088,111.42
BG,,CPP Investments,26247358,13.5283,
BG,,Capital World Investors,20211311,10.4172,
BG,,"BlackRock Institutional Trust Company, N.A.",9485441,4.8889,
BG,,"Vanguard Capital Management, LLC",9437741,4.8644,
BG,,"Vanguard Portfolio Management, LLC",7114348,3.6668,
BG,,State Street Investment Management (US),7032181,3.6245,
BG,,British Columbia Investment Management Corp.,4586963,2.3642,
BG,,"Geode Capital Management, L.L.C.",3541812,1.8255,
BG,,Fidelity Management & Research Company LLC,3246580,1.6733,
BG,,Fidelity International,2644181,1.3629,
BG,,Invesco Capital Management LLC,2503280,1.2902,
BG,,"Northern Trust Investments, Inc.",2090445,1.0774,
BG,,"Dimensional Fund Advisors, L.P.",2048631,1.0559,
BG,,"Charles Schwab Investment Management, Inc.",1802818,0.9292,
BG,,BlackRock Asset Management Ireland Limited,1752760,0.9034,
BG,,Norges Bank Investment Management (NBIM),1713174,0.883,
BG,,Heckman (Gregory A.),1671021,0.8613,
BG,,"Merewether Investment Management, LP",1118543,0.5765,
BG,,Millennium Management LLC,1014515,0.5229,
BG,,"UBS Financial Services, Inc.",980842,0.5055,
BG,,"Amundi Asset Management, SAS",951930,0.4906,
BG,,"BlackRock Financial Management, Inc.",891265,0.4594,
BG,,Citadel Advisors LLC,881500,0.4543,
BG,,Parametric Portfolio Associates LLC,871391,0.4491,
BG,,Mellon Investments Corporation,791385,0.4079,
BG,,Vanguard Fiduciary Trust Co,776802,0.4004,
BG,,"Holocene Advisors, LP",773811,0.3988,
BG,,BofA Global Research (US),759549,0.3915,
BG,,Citi Investment Research (US),730096,0.3763,
BG,,Van Eck Associates Corporation,660616,0.3405,
BG,,BlackRock Investment Management (UK) Ltd.,606277,0.3125,
BG,,BNP Paribas Securities Corp. North America,588618,0.3034,
BG,,Nuveen LLC,569366,0.2935,
BG,,Legal & General Investment Management Ltd.,544832,0.2808,
BG,,UBS Asset Management (UK) Ltd.,519815,0.2679,
BG,,"Aperio Group, LLC",504568,0.2601,
BG,,DWS Investments UK Limited,500107,0.2578,
BG,,Capital International Management Company SARL,496020,0.2557,
BG,,BMO Nesbitt Burns Inc.,494914,0.2551,
BG,,Columbia Threadneedle Investments (US),441829,0.2277,
BG,,Morgan Stanley & Co. LLC,418854,0.2159,
BG,,"Goldman Sachs Asset Management, L.P.",418263,0.2156,
BG,,Squarepoint Capital LLP,410847,0.2118,
BG,,"Neuberger Berman, LLC",399781,0.2061,
BG,,Schweizerische Nationalbank,397200,0.2047,
BG,,Balyasny Asset Management LP,396224,0.2042,
BG,,BlackRock (Netherlands) B.V.,380047,0.1959,
BG,,RREEF America L.L.C.,379477,0.1956,
BG,,"Sumitomo Mitsui Trust Bank, Limited",372952,0.1922,
BG,,BlackRock Asset Management Canada Limited,369232,0.1903,
BG,,Morgan Stanley Smith Barney LLC,354489,0.1827,
BG,,Horizon Kinetics LLC,336944,0.1737,
BG,,Marshall Wace LLP,332640,0.1714,
BG,,Voya Investment Management LLC,328484,0.1693,
BG,,WCM Investment Management,326216,0.1681,
BG,,UBS Asset Management (Americas) LLC,321134,0.1655,
BG,,JP Morgan Asset Management,319871,0.1649,
BG,,UBS Asset Management (Switzerland),318204,0.164,
BG,,"Baker Avenue Asset Management, LP",316691,0.1632,
BG,,KBI Global Investors Ltd.,310168,0.1599,
BG,,"Mitsubishi UFJ Asset Management Co., Ltd.",304563,0.157,
BG,,Verition Fund Management LLC,294502,0.1518,
BG,,"Dimensional Fund Advisors, Ltd.",287596,0.1482,
BG,,Vanguard Global Advisers LLC,286547,0.1477,
BG,,PFA Pension Forsikringsaktieselskab,281096,0.1449,
BG,,Rhumbline Advisers Ltd. Partnership,278948,0.1438,
