"","Instrument","Company.Common.Name","Deal.Permid","Loan.Dates..Announcement.Date","Loan.Dates..Financial.Close.Date.of.Loan.Package","Maturity..Maturity.Date","Loan.Type","Use.of.Proceeds","Loan.Repayment..Type","Loans.Issuer.Borrower.Ultimate.Parent.Name.Full","Loan.Package.Amount","Number.of.all.Managers..inc..Int.l.Co.Managers","All.Managers..inc..Int.l.Co.Managers..Parent..Full.Name.","All.Managers..inc..Int.l.Co.Managers..Parent..Code.","All.Loans.Manager.Roles","Loan.Manager.Commitment.Amount"
"1",4296555324,"Cargill Inc",154083347001,"1988-05-05","1988-05-05",NA,"Term Loan","General Corporate Purpose","Amortizing","Cargill Inc",8.5e+08,4,"HSBC Holdings PLC","SAM-CAPEL-HSBC","Arranger",212500000
"2",4296555324,"Cargill Inc",154083347002,"1988-05-05","1988-05-05",NA,"Term Loan","General Corporate Purpose","Amortizing","Cargill Inc",8.5e+08,21,"NatWest","NATWEST-GRP","Participant",40476190.4761905
"3",4296555324,"Cargill Inc",154083370434,"1996-10-01","1997-06-27","2008-04-01","Project Financing","Non-Recourse Project Finance","Amortizing","Cargill Inc",1255859569.79953,38,"Barclays","BARCLAYS-CAP","Participant",33048936.0473561
"4",4296555324,"Cargill Inc",154083376593,"1991-05-01","1991-09-16","2008-09-16","Term Loan","Electricity","Amortizing","Cargill Inc",1381311464.0164,22,"BNP Paribas SA","BNP-PARIBAS","Participant",62786884.7280182
"5",4296555324,"Cargill Inc",154083376594,"1991-05-01","1991-09-16","2007-09-16","Term Loan","Refinancing","Amortizing","Cargill Inc",1381311464.0164,31,"BNP Paribas SA","BNP-PARIBAS","Participant",44558434.3231097
"6",4296555324,"Cargill Inc",154083377635,"1992-02-12","1992-02-12","2007-02-12","Term Loan","Project Finance","Amortizing","Cargill Inc",730500000,12,"CIBC World Markets Inc","CIBC-WORLD","Participant",60875000
"7",4296555324,"Cargill Inc",154083386056,"1996-02-28","1996-02-28","1999-03-01","Revolving Credit Facility","Energy","Bullet","Cargill Inc",5e+08,27,"Credit Agricole Corporate & Investment Bank","CREDIT-AGRI-CIB","Participant",18518518.5185185
"8",4296555324,"Cargill Inc",154083386057,"1996-02-28","1996-02-28","2001-03-02","Term Loan","Project Finance","Amortizing","Cargill Inc",5e+08,10,"UBS","UBS-BANK","Participant",5e+07
"9",4296555324,"Cargill Inc",154083389437,"1995-07-31","1995-07-31","2000-07-31","Revolving Credit Facility","Energy",NA,"Cargill Inc",1.5e+08,38,"Deutsche Bank","DEUTSCHE-BANK","Participant",3947368.42105263
"10",4296555324,"Cargill Inc",154083389878,"1996-10-11","1996-10-11",NA,"Revolving Credit Facility","Refinancing",NA,"Cargill Inc",5e+08,17,"Mizuho Financial Group","MIZUHO-FINAN","Participant",29411764.7058824
"11",4296555324,"Cargill Inc",154083389879,"1996-10-11","1996-10-11",NA,"Revolving Credit Facility","Acquisition Finance",NA,"Cargill Inc",5e+08,6,"Mizuho Financial Group","MIZUHO-FINAN","Participant",83333333.3333333
"12",4296555324,"Cargill Inc",154083389880,"1996-10-11","1996-10-11",NA,"Term Loan","Refinancing",NA,"Cargill Inc",5e+08,13,"Mitsubishi UFJ Financial Group","MITSUBISHI-UFJ","Participant",38461538.4615385
"13",4296555324,"Cargill Inc",154083391283,"1997-02-04","1997-02-04",NA,"Revolving Credit Facility","Refinancing",NA,"Cargill Inc",4.5e+07,38,"NatWest","NATWEST-GRP","Participant",1184210.52631579
"14",4296555324,"Cargill Inc",154083392153,"1995-08-01","1995-08-01",NA,"Letter Of Credit","General Corporate Purpose",NA,"Broken Hill Pty Co Ltd{BHP}",3.5e+08,17,"RBC Capital Markets","RBC-CAP-MKTS","Participant",20588235.2941176
"15",4296555324,"Cargill Inc",154083393455,"1997-05-13","1997-05-13","2000-05-13","Revolving Credit Facility","General Corporate Purpose",NA,"Cargill Inc",5e+08,31,"Mitsubishi UFJ Financial Group","MITSUBISHI-UFJ","Participant",16129032.2580645
"16",4296555324,"Cargill Inc",154083393456,"1997-05-13","1997-05-13","2000-05-13","Revolving Credit Facility","General Corporate Purpose",NA,"Cargill Inc",5e+08,22,"UBS","UBS-BANK","Participant",22727272.7272727
"17",4296555324,"Cargill Inc",154083393457,"1997-05-13","1997-05-13","2002-05-13","Term Loan","General Corporate Purpose",NA,"Cargill Inc",5e+08,41,"Societe Generale SA","SOC-GEN","Participant",12195121.9512195
"18",4296555324,"Cargill Inc",154083395875,"1997-12-15","1997-12-15","1998-12-14","Revolving Credit Facility","General Corporate Purpose","Bullet","Cargill Inc",1e+09,20,"UBS","UBS-BANK","Participant",5e+07
"19",4296555324,"Cargill Inc",154083395876,"1997-12-15","1997-12-15","2002-12-15","Revolving Credit Facility","General Corporate Purpose","Bullet","Cargill Inc",1e+09,40,"Westpac Banking Corp","WESTPAC","Participant",2.5e+07
"20",4296555324,"Cargill Inc",154083397252,"1998-04-01","1998-04-01","1999-03-31","Revolving Credit Facility","Refinancing","Bullet","Cargill Inc",1e+09,2,"HSBC Holdings PLC","SAM-CAPEL-HSBC","Arranger",5e+08
"21",4296555324,"Cargill Inc",154083400549,"1999-03-01","1999-03-01",NA,"Revolving Credit Facility","Refinancing","Bullet","Cargill Inc",2.5e+08,7,"NatWest","NATWEST-GRP","Participant",35714285.7142857
"22",4296555324,"Cargill Inc",154083400564,"1998-12-14","1998-12-14","1999-12-13","Revolving Credit Facility","Refinancing","Bullet","Cargill Inc",3.5e+08,22,"Barclays","BARCLAYS-CAP","Participant",15909090.9090909
"23",4296555324,"Cargill Inc",154083408589,"2000-05-18","2000-05-18","2005-05-18","Term Loan","Acquisition Finance",NA,"Cargill Inc",152100000,19,"BNP Paribas SA","BNP-PARIBAS","Participant",8005263.15789474
"24",4296555324,"Cargill Inc",154083408887,"2000-07-21","2000-07-21","2007-07-21","Revolving Credit Facility","Acquisition Finance",NA,"The Dow Chemical Co",2.6e+08,13,"BNP Paribas SA","BNP-PARIBAS","Participant",2e+07
"25",4296555324,"Cargill Inc",154083408888,"2000-07-21","2000-07-21","2007-07-21","Term Loan","Bridging Loan",NA,"The Dow Chemical Co",2.6e+08,6,"CIBC World Markets Inc","CIBC-WORLD","Participant",43333333.3333333
"26",4296555324,"Cargill Inc",154083409487,"1999-12-08","1999-12-08","2000-12-06","Revolving Credit Facility","Acquisition Finance",NA,"Cargill Inc",3.5e+08,22,"Credit Agricole Corporate & Investment Bank","CREDIT-AGRI-CIB","Participant",15909090.9090909
"27",4296555324,"Cargill Inc",154083411438,"1999-12-08","1999-12-08","2004-12-08","Revolving Credit Facility","Standby/CP Support","Bullet","Cargill Inc",6.5e+08,40,"UBS","UBS-BANK","Participant",16250000
"28",4296555324,"Cargill Inc",154083415363,"2000-09-29","2000-09-29","2001-09-28","Revolving Credit Facility","General Corporate Purpose",NA,"Cargill Inc",8e+08,25,"Deutsche Bank","DEUTSCHE-BANK","Participant",3.2e+07
"29",4296555324,"Cargill Inc",154083415364,"2000-09-29","2000-09-29","2002-12-15","Revolving Credit Facility","Refinancing","Bullet","Cargill Inc",8e+08,5,"Mizuho Financial Group","MIZUHO-FINAN","Participant",1.6e+08
"30",4296555324,"Cargill Inc",154083419478,"2001-05-17","2001-05-17","2006-05-17","Revolving Credit Facility","Future Acquisitions","Bullet","Cargill Inc",5e+08,10,"Mizuho Financial Group","MIZUHO-FINAN","Participant",5e+07
"31",4296555324,"Cargill Inc",154083419960,"2001-11-07",NA,NA,"Bridge Loan","General Corporate Purpose",NA,"Cargill Inc",1.85e+08,23,"Mitsubishi UFJ Financial Group","MITSUBISHI-UFJ","Participant",8043478.26086957
"32",4296555324,"Cargill Inc",154083420003,"2001-05-17","2001-05-17","2006-11-17","Term Loan","Project Finance","Amortizing","Cargill Inc",5e+08,20,"NatWest","NATWEST-GRP","Participant",2.5e+07
"33",4296555324,"Cargill Inc",154083422783,"2001-10-30","2001-10-30","2006-10-30","Term Loan","General Corporate Purpose","Amortizing","Cargill Inc",38437690.6131379,19,"RBC Capital Markets","RBC-CAP-MKTS","Participant",2023036.34805989
"34",4296555324,"Cargill Inc",154083422784,"2001-10-30","2001-10-30","2006-10-30","Revolving Credit Facility","Project Finance","Bullet","Cargill Inc",38437690.6131379,19,"Mitsubishi UFJ Financial Group","MITSUBISHI-UFJ","Participant",2023036.34805989
"35",4296555324,"Cargill Inc",154083424486,"2001-10-16","2001-11-28","2008-05-28","Revolving Credit Facility","General Corporate Purpose","Bullet","Cargill Inc",3.1e+08,15,"UBS","UBS-BANK","Participant",20666666.6666667
"36",4296555324,"Cargill Inc",154083426662,"2001-10-16","2001-11-28","2009-12-01","Term Loan","General Corporate Purpose","Amortizing","Cargill Inc",3.1e+08,34,"Societe Generale SA","SOC-GEN","Participant",9117647.05882353
