investor_parent_clean,Company.Common.Name,Investor.Shares.Held,Holdings.Pct.Of.Traded.Shares.Held,value_held
"&Partners, LLC",AGCO Corp,8003,0.0111,911701.76
1832 Asset Management L.P.,AGCO Corp,3500,0.0048,398720
"1919 Investment Counsel, LLC",AGCO Corp,4,0,455.68
55IP,AGCO Corp,2,0,227.84
AGF Investments Inc.,AGCO Corp,173518,0.2396,19767170.56
AHL Partners LLP,AGCO Corp,21905,0.0303,2495417.6
AMG National Trust Bank,AGCO Corp,18093,0.025,2061154.56
"AQR Capital Management, LLC",AGCO Corp,315344,0.4355,35923988.48
Aaron Wealth Advisors LLC,AGCO Corp,2439,0.0034,277850.88
Abound Wealth Management LLC,AGCO Corp,20,0,2278.4
Acadian Asset Management LLC,AGCO Corp,18026,0.0249,2053521.92
AcomeA SGR S.p.A.,AGCO Corp,2000,0.0028,227840
"Acropolis Investment Management, L.L.C.",AGCO Corp,1138,0.0016,129640.96
Activest Wealth Management LLC,AGCO Corp,1,0,113.92
Adhesion Wealth Advisor Solutions,AGCO Corp,6274,0.0087,714734.08
AdvisorNet Wealth Partners,AGCO Corp,3,0,341.76
"Advisors Asset Management, Inc.",AGCO Corp,6708,0.0093,764175.36
"Advisory Services Network, LLC",AGCO Corp,260,4.00E-04,29619.2
Agarwal (Indira),AGCO Corp,13559,0.0187,1544641.28
Ak Portfoy Yonetimi A.S.,AGCO Corp,383,5.00E-04,43631.36
Alaska Retirement Management Board,AGCO Corp,5979,0.0083,681127.68
Albion Financial Group,AGCO Corp,14,0,1594.88
AllianceBernstein L.P.,AGCO Corp,74692,0.1032,8508912.64
Allianz,AGCO Corp,7965,0.011,907372.8
"Allspring Global Investments, LLC",AGCO Corp,80974,0.1118,9224558.08
Allstate Investments LLC,AGCO Corp,9926,0.0137,1130769.92
"Allworth Financial, L.P.",AGCO Corp,359,5.00E-04,40897.28
"AlphaSimplex Group, LLC",AGCO Corp,452,6.00E-04,51491.84
Amalgamated Bank Institutional Asset Management & Custody,AGCO Corp,27452,0.0379,3127331.84
Ameliora Wealth Management Ltd,AGCO Corp,213,3.00E-04,24264.96
"American Century Investment Management, Inc.",AGCO Corp,149736,0.2068,17057925.12
"Ameritas Investment Partners, Inc.",AGCO Corp,11070,0.0153,1261094.4
"Amova Asset Management Co., Ltd.",AGCO Corp,5868,0.0081,668482.56
Amundi,AGCO Corp,4267,0.0059,486096.64
"Ancora Advisors, L.L.C.",AGCO Corp,391,5.00E-04,44542.72
"Aperio Group, LLC",AGCO Corp,129152,0.1784,14712995.84
Arax Advisory Partners,AGCO Corp,2233,0.0031,254383.36
Arbejdsmarkedets Tillaegspension,AGCO Corp,37848,0.0523,4311644.16
Arizona State Retirement System,AGCO Corp,17428,0.0241,1985397.76
Arkadios Wealth Advisors LLC,AGCO Corp,2404,0.0033,273863.68
Arnold (Michael C),AGCO Corp,24295,0.0336,2767686.4
"Arrowstreet Capital, Limited Partnership",AGCO Corp,168958,0.2333,19247695.36
"Assetmark, Inc.",AGCO Corp,1392,0.0019,158576.64
Atlantic Union Bankshares Corporation,AGCO Corp,79,1.00E-04,8999.68
Atlas Capital Advisors LLC,AGCO Corp,1319,0.0018,150260.48
Audia (Damon J.),AGCO Corp,26977,0.0373,3073219.84
Auxier Asset Management LLC,AGCO Corp,3276,0.0045,373201.92
Avadis Anlagestiftung,AGCO Corp,1073,0.0015,122236.16
Avantis Investors_NLE,AGCO Corp,8461,0.0117,963877.12
Aviva,AGCO Corp,27463,0.0379,3128584.96
Azimut Capital Management Sgr SpA,AGCO Corp,8300,0.0115,945536
BMO Asset Management Inc.,AGCO Corp,5393,0.0074,614370.56
"BMO Family Office, LLC",AGCO Corp,2194,0.003,249940.48
BMO Harris Bank N.A.,AGCO Corp,3183,0.0044,362607.36
BMO Nesbitt Burns Inc.,AGCO Corp,39693,0.0548,4521826.56
BMO Nesbitt Burns Securities Ltd,AGCO Corp,3746,0.0052,426744.32
BNP Paribas,AGCO Corp,409935,0.5662,46699795.2
BNY Mellon Asset Management,AGCO Corp,129079,0.1783,14704679.68
BNY Wealth,AGCO Corp,21147,0.0292,2409066.24
BZ Bank AG (Asset Management),AGCO Corp,15000,0.0207,1708800
"Baker Avenue Asset Management, LP",AGCO Corp,3178,0.0044,362037.76
Baker Ellis Asset Management LLC,AGCO Corp,34895,0.0482,3975238.4
Bank Julius Bär & Co. AG,AGCO Corp,1873,0.0026,213372.16
Bank Vontobel AG,AGCO Corp,1715,0.0024,195372.8
Banque Degroof Petercam Luxembourg S.A.,AGCO Corp,450,6.00E-04,51264
Barbour (Sondra L.),AGCO Corp,12954,0.0179,1475719.68
Barclays Bank PLC,AGCO Corp,159627,0.2205,18184707.84
Barclays Capital,AGCO Corp,47,1.00E-04,5354.24
Barclays Capital Inc.,AGCO Corp,202,3.00E-04,23011.84
Baring Asset Management Ltd.,AGCO Corp,25301,0.0349,2882289.92
Barings LLC,AGCO Corp,24662,0.0341,2809495.04
Barrow Hanley Global Investors,AGCO Corp,748,0.001,85212.16
Bartlett Wealth Management,AGCO Corp,804,0.0011,91591.68
"Battery Global Advisors, LLC",AGCO Corp,358,5.00E-04,40783.36
"Bay Harbor Wealth Management, LLC",AGCO Corp,13,0,1480.96
Bayforest Capital Limited,AGCO Corp,703,0.001,80085.76
"Beaird Harris Wealth Management, LLC",AGCO Corp,1,0,113.92
"Benefit Financial Services Group, LLC",AGCO Corp,17126,0.0237,1950993.92
Bennett (Kelvin Eugene),AGCO Corp,16844,0.0233,1918868.48
"Bessemer Trust Company, N.A. (US)",AGCO Corp,456,6.00E-04,51947.52
BetaShares Capital Ltd.,AGCO Corp,8648,0.0119,985180.16
Binnacle Investments Inc,AGCO Corp,5,0,569.6
BlackRock,AGCO Corp,5680792,7.8455,647155824.6
"Blue Door Asset Management, LLC",AGCO Corp,83100,0.1148,9466752
Blueprint Investment Partners LLC,AGCO Corp,3619,0.005,412276.48
BofA Global Research (US),AGCO Corp,133891,0.1849,15252862.72
"Bogart Wealth, LLC",AGCO Corp,13,0,1480.96
"Boothbay Fund Management, LLC",AGCO Corp,2869,0.004,326836.48
Boston Management and Research,AGCO Corp,656,9.00E-04,74731.52
Boston Partners,AGCO Corp,128,2.00E-04,14581.76
"Bradley, Foster & Sargent, Inc.",AGCO Corp,4313,0.006,491336.96
"Bragg Financial Advisors, Inc.",AGCO Corp,239740,0.3311,27311180.8
"Brandes Investment Partners, L.P.",AGCO Corp,24922,0.0344,2839114.24
"Brandywine Global Investment Management, LLC",AGCO Corp,58063,0.0802,6614536.96
Brevan Howard Capital Management LP,AGCO Corp,5328,0.0074,606965.76
"Bridgefront Capital, LLC",AGCO Corp,2063,0.0028,235016.96
"Bridgewater Associates, LP",AGCO Corp,4901,0.0068,558321.92
"Bristlecone Value Partners, LLC",AGCO Corp,5031,0.0069,573131.52
Brown Financial Advisors,AGCO Corp,1860,0.0026,211891.2
"Bruce G. Allen Investments, LLC",AGCO Corp,33,0,3759.36
CAPTRUST Financial Advisors,AGCO Corp,1839,0.0025,209498.88
CCM Investment Group LLC,AGCO Corp,2536,0.0035,288901.12
CI Global Asset Management,AGCO Corp,3523,0.0049,401340.16
CIBC Asset Management Inc.,AGCO Corp,2305,0.0032,262585.6
CIBC World Markets Inc.,AGCO Corp,6112,0.0084,696279.04
CPP Investments,AGCO Corp,16100,0.0222,1834112
CPR Asset Management,AGCO Corp,62134,0.0858,7078305.28
"CX Institutional, L.L.C.",AGCO Corp,97,1.00E-04,11050.24
California Public Employees' Retirement System,AGCO Corp,131874,0.1821,15023086.08
California State Teachers Retirement System,AGCO Corp,73535,0.1016,8377107.2
"Callan Family Office, LLC",AGCO Corp,17738,0.0245,2020712.96
Calvert Research and Management,AGCO Corp,18799,0.026,2141582.08
"Camden Capital, LLC",AGCO Corp,2952,0.0041,336291.84
Canada Life Assurance Company,AGCO Corp,55995,0.0773,6378950.4
Canada Life Investment Management Ltd,AGCO Corp,25,0,2848
Candriam Belgium S.A.,AGCO Corp,3100,0.0043,353152
Candriam Luxembourg S.A.,AGCO Corp,7951,0.011,905777.92
"Capital Advisors, Ltd., LLC",AGCO Corp,6,0,683.52
Capital Fund Management S.A.,AGCO Corp,114043,0.1575,12991778.56
Capital Research Global Investors,AGCO Corp,413755,0.5714,47134969.6
Capital World Investors,AGCO Corp,2504042,3.4582,285260464.6
"Carlson Capital Management, LLC",AGCO Corp,2985,0.0041,340051.2
Carnegie Fonder AB,AGCO Corp,1500,0.0021,170880
"Carrera Asset Management Co., Ltd.",AGCO Corp,5400,0.0075,615168
Carson Wealth Management Group,AGCO Corp,3517,0.0049,400656.64
Caspari (Stefan),AGCO Corp,31544,0.0436,3593492.48
Cassaday & Co Wealth Management LLC,AGCO Corp,702,0.001,79971.84
Catalyst Funds Management Pty Ltd,AGCO Corp,2022,0.0028,230346.24
"Cedar Mountain Advisors, LLC",AGCO Corp,98,1.00E-04,11164.16
CenterBook Partners LP,AGCO Corp,20853,0.0288,2375573.76
"Centiva Capital, LP",AGCO Corp,2038,0.0028,232168.96
Central Trust & Investment Company,AGCO Corp,140,2.00E-04,15948.8
Cerity Partners LLC,AGCO Corp,4929,0.0068,561511.68
Cetera Investment Advisers LLC,AGCO Corp,13000,0.018,1480960
"Charles Schwab Investment Management, Inc.",AGCO Corp,518921,0.7167,59115480.32
Chartvalor AG,AGCO Corp,3000,0.0041,341760
Chesapeake Capital Corp,AGCO Corp,3619,0.005,412276.48
Chicago Partners Wealth Advisors,AGCO Corp,5842,0.0081,665520.64
"Choreo, LLC",AGCO Corp,4809,0.0066,547841.28
Citadel Advisors LLC,AGCO Corp,80386,0.111,9157573.12
Citi Investment Research (US),AGCO Corp,12925,0.0179,1472416
"City National Rochdale, LLC",AGCO Corp,666,9.00E-04,75870.72
Clark (Suzanne Patricia),AGCO Corp,14314,0.0198,1630650.88
"Class VI Family Office, LLC",AGCO Corp,99,1.00E-04,11278.08
"ClearBridge Investments, LLC",AGCO Corp,46564,0.0643,5304570.88
Clearstead Advisors LLC,AGCO Corp,20,0,2278.4
Clearstead Trust LLC,AGCO Corp,33,0,3759.36
"Cohen & Steers Capital Management, Inc.",AGCO Corp,115880,0.16,13201049.6
